,audienceRating,Genre,criticRating,timeMin,Year
210,6.9,Comedy,46,91,2000
211,6.3,Comedy,44,82,2000
212,7.1,Drama,57,110,2000
213,6.3,Drama,49,89,2000
214,5.6,Biography,42,89,2000
215,6.5,Comedy,23,103,2000
216,7.3,Crime,79,99,2000
217,6.3,Action,41,109,2000
218,7.8,Comedy,69,120,2000
219,6.7,Drama,68,98,2000
220,7.6,Documentary,83,82,2000
221,6.7,Crime,82,101,2000
222,5.6,Crime,37,88,2000
223,6.1,Romance,35,93,2000
224,5.6,Adventure,33,114,2000
225,6.9,Drama,64,109,2000
226,6.0,Drama,62,130,2000
227,6.9,Action,60,113,2000
228,4.6,Drama,14,105,2000
229,7.1,Drama,66,87,2000
230,4.4,Comedy,10,82,2000
231,6.5,Drama,54,86,2000
232,5.3,Crime,5,87,2000
233,6.9,Comedy,59,90,2000
234,7.5,Comedy,63,102,2000
235,7.4,Comedy,59,118,2000
236,5.4,Drama,23,112,2000
237,7.5,Drama,76,83,2000
238,5.2,Comedy,44,98,2000
239,5.8,Drama,41,123,2000
240,6.8,Crime,73,101,2000
241,7.0,Comedy,40,107,2000
242,7.2,Drama,72,112,2000
243,6.6,Action,45,105,2000
244,5.9,Comedy,40,86,2000
245,3.7,Adventure,19,85,2000
246,6.8,Adventure,50,98,2000
247,7.2,Drama,63,109,2000
248,7.5,Drama,79,155,2000
249,7.9,Drama,78,217,2000
250,7.0,Comedy,60,97,2000
251,5.6,Drama,28,105,2000
252,7.0,Drama,73,103,2000
253,5.9,Drama,32,100,2000
254,7.2,Drama,78,113,2000
255,8.8,Adventure,92,178,2001
256,8.2,Biography,72,135,2001
257,8.1,Animation,78,92,2001
258,8.1,Drama,88,113,2001
259,8.3,Comedy,69,122,2001
260,7.9,Animation,84,90,2001
261,7.6,Adventure,64,152,2001
262,8.6,Animation,96,125,2001
263,7.8,Crime,74,116,2001
264,7.7,Crime,69,122,2001
265,7.7,Drama,74,144,2001
266,6.7,Action,58,106,2001
267,7.6,Horror,74,101,2001
268,6.1,Action,44,183,2001
269,8.0,Drama,83,147,2001
270,6.3,Action,48,130,2001
271,7.1,Adventure,65,146,2001
272,5.9,Action,42,92,2001
273,7.6,Drama,66,127,2001
274,7.6,Comedy,76,110,2001
275,6.8,Crime,57,131,2001
276,6.9,Fantasy,45,136,2001
277,6.6,Comedy,61,90,2001
278,6.4,Comedy,43,108,2001
279,7.6,Biography,52,124,2001
280,7.6,Drama,53,131,2001
281,5.7,Action,50,119,2001
282,6.7,Comedy,66,97,2001
283,6.6,Action,48,90,2001
284,5.8,Action,33,100,2001
285,6.5,Action,32,99,2001
286,7.4,Drama,49,120,2001
287,6.9,Action,56,132,2001
288,6.2,Comedy,59,96,2001
289,6.9,Comedy,51,104,2001
290,6.8,Horror,54,122,2001
291,7.6,Drama,28,132,2001
292,5.3,Comedy,29,83,2001
293,7.1,Action,63,126,2001
294,5.9,Comedy,48,114,2001
295,6.8,Crime,71,124,2001
296,6.1,Comedy,40,101,2001
297,6.3,Comedy,52,111,2001
298,7.4,Comedy,88,111,2001
299,7.7,Adventure,88,106,2001
300,6.4,Adventure,52,112,2001
301,6.1,Horror,49,90,2001
302,6.9,Comedy,52,90,2001
303,6.1,Adventure,43,123,2001
304,5.4,Action,71,88,2001
305,7.6,Crime,73,116,2001
306,6.4,Action,49,106,2001
307,5.7,Comedy,32,89,2001
308,6.8,Biography,65,157,2001
309,8.2,Adventure,84,224,2001
310,7.8,Drama,60,120,2001
311,6.8,Animation,52,95,2001
312,5.9,Action,25,87,2001
313,7.1,Comedy,48,100,2001
314,6.4,Animation,49,106,2001
315,6.7,Drama,27,119,2001
316,7.1,Drama,69,111,2001
317,5.6,Horror,30,91,2001
318,6.4,Comedy,44,118,2001
319,7.3,Comedy,90,131,2001
320,5.2,Comedy,33,103,2001
321,7.3,Crime,64,100,2001
322,6.3,Drama,42,104,2001
323,7.3,Action,68,113,2001
324,6.9,Action,43,131,2001
325,6.5,Comedy,60,123,2001
326,6.6,Mystery,75,97,2001
327,6.6,Action,58,98,2001
328,7.1,Action,57,142,2001
329,7.8,Animation,82,99,2001
330,7.5,Drama,78,106,2001
331,6.2,Drama,53,112,2001
332,4.8,Comedy,43,84,2001
333,5.7,Comedy,44,102,2001
334,5.1,Action,47,87,2001
335,6.0,Drama,33,116,2001
336,6.9,Drama,27,152,2001
337,6.5,Horror,58,100,2001
338,6.2,Comedy,47,123,2001
339,6.3,Comedy,29,93,2001
340,6.8,Crime,71,124,2001
341,6.7,Comedy,42,97,2001
342,4.9,Action,35,98,2001
343,7.1,Action,55,129,2001
344,6.1,Action,34,120,2001
345,5.9,Adventure,20,91,2001
346,6.3,Action,23,93,2001
347,7.5,Drama,79,131,2001
348,6.3,Drama,38,113,2001
349,4.4,Action,25,91,2001
350,4.5,Comedy,13,87,2001
351,7.5,Drama,45,125,2001
352,8.0,Drama,84,98,2001
353,5.9,Action,21,125,2001
354,6.2,Drama,54,105,2001
355,4.7,Comedy,49,87,2001
356,4.5,Action,29,116,2001
357,7.9,Animation,61,115,2001
358,5.9,Action,22,90,2001
359,6.8,Comedy,52,103,2001
360,7.5,Crime,86,130,2001
361,4.8,Adventure,32,95,2001
362,7.2,Drama,75,98,2001
363,6.9,Drama,55,101,2001
364,6.7,Action,53,94,2001
365,6.5,Comedy,45,99,2001
366,7.2,Drama,65,128,2001
367,7.0,Biography,45,108,2001
368,6.8,Drama,47,111,2001
369,5.9,Drama,36,131,2001
370,6.5,Action,66,109,2001
371,5.5,Action,39,101,2001
372,7.8,Comedy,85,95,2001
373,6.3,Animation,57,95,2001
374,5.8,Crime,34,106,2001
375,5.6,Adventure,41,84,2001
376,6.1,Comedy,46,93,2001
377,6.1,Action,31,105,2001
378,6.0,Animation,65,82,2001
379,6.1,Comedy,66,109,2001
380,6.4,Drama,48,106,2001
381,6.5,Biography,43,132,2001
382,6.1,Comedy,51,93,2001
383,5.5,Crime,29,89,2001
384,6.5,Drama,61,99,2001
385,4.7,Horror,18,96,2001
386,6.9,Comedy,56,98,2001
387,6.1,Comedy,32,97,2001
388,7.4,Comedy,77,114,2001
389,4.8,Adventure,37,92,2001
390,6.2,Drama,33,95,2001
391,6.1,Crime,30,92,2001
392,5.6,Drama,39,102,2001
393,2.2,Drama,14,104,2001
394,5.4,Comedy,32,87,2001
395,5.3,Comedy,47,98,2001
396,6.4,Drama,64,119,2001
397,7.0,Drama,53,103,2001
398,7.3,Animation,75,108,2001
399,6.2,Drama,53,95,2001
400,7.9,Animation,70,87,2001
401,7.3,Drama,84,121,2001
402,7.3,Drama,71,86,2001
403,5.8,Comedy,52,87,2001
404,5.8,Comedy,38,88,2001
405,6.4,Comedy,56,96,2001
406,5.3,Comedy,15,95,2001
407,6.9,Comedy,50,87,2001
408,7.4,Drama,73,99,2001
409,6.4,Comedy,62,95,2001
410,7.1,Biography,76,91,2001
411,6.3,Comedy,22,89,2001
412,4.7,Animation,40,93,2001
413,7.1,Comedy,72,84,2001
414,6.6,Comedy,72,97,2001
415,5.0,Comedy,21,108,2001
416,5.5,Comedy,37,94,2001
417,4.7,Action,27,104,2001
418,6.6,Horror,70,119,2001
419,7.6,Comedy,70,89,2001
420,7.9,Comedy,68,123,2001
421,6.0,Action,25,94,2001
422,5.4,Comedy,27,86,2001
423,5.6,Comedy,48,81,2001
424,5.2,Action,31,81,2001
425,7.4,Crime,82,115,2001
426,6.9,Drama,59,108,2001
427,4.9,Comedy,21,95,2001
428,4.6,Comedy,20,86,2001
429,7.7,Biography,72,141,2001
430,7.7,Documentary,76,91,2001
431,8.0,Documentary,82,98,2001
432,6.4,Crime,55,130,2001
433,6.7,Crime,78,101,2001
434,5.8,Comedy,45,95,2001
435,6.2,Drama,69,119,2001
436,6.4,Drama,48,121,2001
437,7.1,Drama,58,108,2001
438,5.5,Comedy,42,98,2001
439,7.1,Drama,74,104,2001
440,7.2,Crime,73,97,2001
441,6.5,Drama,77,83,2001
442,7.4,Drama,60,100,2001
443,6.8,Drama,49,100,2001
444,5.4,Action,24,94,2001
445,6.3,Comedy,56,115,2001
446,6.6,Animation,43,82,2001
447,5.3,Horror,35,90,2001
448,3.9,Drama,20,84,2001
449,7.4,Drama,69,106,2001
450,6.3,Comedy,38,94,2001
451,7.3,Comedy,72,109,2001
452,7.0,Comedy,65,115,2001
453,6.4,Drama,63,114,2001
454,7.2,Comedy,60,113,2001
455,5.4,Drama,21,109,2001
456,7.8,Drama,79,94,2001
457,7.7,Crime,73,146,2001
458,6.9,Comedy,75,91,2001
459,5.4,Comedy,40,86,2001
460,7.7,Drama,73,105,2001
461,6.6,Comedy,55,86,2001
462,6.8,Biography,76,85,2001
463,4.7,Comedy,18,93,2001
464,4.1,Crime,42,96,2001
465,7.0,Action,54,102,2001
466,6.5,Comedy,49,108,2001
467,5.9,Crime,44,105,2001
468,6.0,Horror,40,101,2001
469,7.5,Drama,91,172,2001
470,5.4,Action,25,88,2001
471,7.8,Drama,72,157,2001
472,7.1,Drama,66,121,2001
473,7.0,Drama,78,109,2001
474,7.3,Comedy,48,109,2001
475,6.5,Crime,31,112,2001
476,5.2,Action,29,90,2001
477,7.3,War,56,112,2001
478,6.1,Comedy,35,90,2001
479,6.1,Drama,42,118,2001
480,7.4,Drama,88,134,2001
481,4.4,Comedy,34,104,2001
482,7.0,Comedy,45,90,2001
483,6.3,Drama,56,88,2001
484,5.9,Drama,44,88,2001
485,6.6,Comedy,46,95,2001
486,7.0,Comedy,50,86,2001
487,7.0,Drama,67,107,2001
488,6.8,Comedy,49,104,2001
489,7.3,Drama,61,113,2001
490,4.9,Comedy,49,99,2001
491,7.0,Comedy,75,103,2001
492,6.6,Drama,58,121,2001
493,7.3,Drama,79,116,2001
494,6.7,Drama,57,106,2001
495,4.1,Comedy,34,85,2001
496,6.5,Drama,55,133,2001
497,6.6,Comedy,58,102,2001
498,6.4,Comedy,36,92,2001
499,7.0,Drama,73,119,2001
500,6.2,Comedy,36,102,2001
501,8.0,Documentary,79,96,2001
502,6.4,Comedy,50,106,2001
503,6.4,Drama,67,84,2001
504,6.9,Drama,51,106,2001
505,6.5,Adventure,38,113,2001
506,5.9,Comedy,37,108,2001
507,5.0,Horror,63,91,2001
508,8.7,Adventure,87,179,2002
509,8.1,Biography,76,141,2002
510,7.3,Action,73,121,2002
511,8.6,Crime,79,130,2002
512,8.5,Biography,85,150,2002
513,6.6,Action,54,142,2002
514,7.9,Action,68,119,2002
515,7.4,Adventure,63,161,2002
516,7.7,Action,80,145,2002
517,7.6,Animation,60,81,2002
518,7.5,Crime,72,167,2002
519,7.6,Drama,73,113,2002
520,6.7,Drama,59,106,2002
521,6.1,Action,49,88,2002
522,7.5,Action,33,107,2002
523,7.1,Horror,57,115,2002
524,6.8,Action,51,92,2002
525,7.2,Drama,78,118,2002
526,7.1,Crime,56,81,2002
527,6.8,Crime,65,112,2002
528,6.7,Action,33,100,2002
529,7.2,Crime,60,124,2002
530,7.7,Crime,72,117,2002
531,7.1,Drama,77,110,2002
532,7.2,Comedy,82,113,2002
533,6.1,Action,56,133,2002
534,7.4,Drama,35,101,2002
535,6.2,Action,62,94,2002
536,6.7,Action,52,117,2002
537,7.9,Action,85,107,2002
538,5.8,Action,48,124,2002
539,7.7,Drama,67,135,2002
540,7.7,Comedy,83,114,2002
541,7.1,Comedy,75,101,2002
542,7.2,Animation,73,85,2002
543,8.0,Documentary,72,120,2002
544,7.3,Comedy,78,95,2002
545,5.8,Comedy,24,96,2002
546,6.2,Action,39,101,2002
547,7.2,Action,65,138,2002
548,7.2,Comedy,85,125,2002
549,7.8,Action,61,131,2002
550,5.5,Action,45,92,2002
551,7.6,Drama,81,110,2002
552,6.6,Comedy,62,95,2002
553,5.9,Action,42,96,2002
554,7.1,Crime,30,116,2002
555,6.8,Drama,64,96,2002
556,8.1,Crime,75,101,2002
557,7.4,Crime,51,97,2002
558,6.7,Comedy,66,112,2002
559,6.4,Comedy,26,92,2002
560,6.1,Comedy,42,101,2002
561,8.0,Drama,86,112,2002
562,6.4,Action,45,124,2002
563,6.2,Comedy,45,108,2002
564,7.1,Animation,60,95,2002
565,5.5,Horror,28,91,2002
566,5.5,Comedy,29,104,2002
567,5.0,Adventure,35,86,2002
568,7.1,Biography,67,113,2002
569,5.9,Comedy,37,96,2002
570,5.1,Comedy,45,105,2002
571,7.0,Comedy,63,107,2002
572,6.6,Documentary,42,87,2002
573,6.2,Drama,65,99,2002
574,6.7,Drama,63,124,2002
575,7.4,Biography,61,123,2002
576,5.3,Action,30,98,2002
577,6.5,Drama,52,119,2002
578,5.6,Horror,56,93,2002
579,5.5,Action,33,108,2002
580,5.6,Comedy,53,96,2002
581,6.4,Action,51,116,2002
582,6.5,Drama,69,98,2002
583,6.0,Action,51,134,2002
584,5.5,Action,32,95,2002
585,6.1,Comedy,49,117,2002
586,6.7,Drama,58,138,2002
587,7.7,Action,56,129,2002
588,7.1,Animation,52,83,2002
589,5.1,Action,66,100,2002
590,5.1,Comedy,32,88,2002
591,5.3,Drama,30,101,2002
592,5.4,Action,53,99,2002
593,6.1,Crime,50,115,2002
594,6.3,Drama,49,125,2002
595,6.7,Comedy,50,110,2002
596,5.4,Action,35,97,2002
597,6.2,Comedy,48,82,2002
598,5.6,Action,37,116,2002
599,5.4,Animation,66,77,2002
600,7.2,Comedy,57,92,2002
601,6.5,Drama,71,93,2002
602,6.2,Action,14,81,2002
603,5.6,Comedy,48,104,2002
604,7.4,Drama,84,107,2002
605,7.8,Drama,76,105,2002
606,7.9,Crime,82,109,2002
607,6.4,Action,64,110,2002
608,7.4,Crime,78,97,2002
609,7.3,Comedy,65,122,2002
610,7.6,Drama,80,101,2002
611,6.4,Comedy,38,109,2002
612,7.2,Crime,70,105,2002
613,3.4,Comedy,27,93,2002
614,6.7,Horror,48,92,2002
615,6.8,Comedy,41,101,2002
616,6.1,Drama,25,104,2002
617,5.7,Crime,25,115,2002
618,6.3,Crime,48,115,2002
619,6.8,Drama,83,98,2002
620,5.4,Adventure,36,88,2002
621,5.8,Action,69,86,2002
622,5.9,Comedy,24,88,2002
623,6.3,Crime,59,114,2002
624,7.0,Comedy,72,98,2002
625,5.7,Comedy,63,118,2002
626,6.5,Adventure,49,132,2002
627,4.1,Comedy,19,94,2002
628,6.7,Drama,58,93,2002
629,7.4,Biography,85,117,2002
630,7.3,Biography,62,120,2002
631,7.0,Drama,72,127,2002
632,4.9,Comedy,18,94,2002
633,7.2,Crime,41,103,2002
634,5.6,Drama,61,104,2002
635,7.2,Drama,61,109,2002
636,6.7,Drama,66,99,2002
637,7.1,Comedy,64,111,2002
638,7.1,Drama,84,101,2002
639,6.2,Action,58,94,2002
640,7.5,Adventure,80,94,2002
641,6.3,Comedy,66,102,2002
642,7.8,Drama,83,114,2002
643,6.6,Comedy,46,112,2002
644,3.0,Action,14,98,2002
645,6.1,Crime,50,108,2002
646,5.1,Adventure,29,99,2002
647,5.8,Comedy,35,85,2002
648,7.1,Crime,68,97,2002
649,3.8,Comedy,12,95,2002
650,7.7,Drama,90,107,2002
651,6.2,Action,42,106,2002
652,5.8,Comedy,31,103,2002
653,6.9,Comedy,60,97,2002
654,8.1,Drama,82,129,2002
655,5.3,Animation,23,76,2002
656,3.3,Adventure,12,80,2002
657,6.7,Drama,66,90,2002
658,7.7,Comedy,84,97,2002
659,6.2,Horror,55,105,2002
660,6.6,Action,57,118,2002
661,6.5,Comedy,47,85,2002
662,3.3,Crime,16,101,2002
663,5.4,Horror,15,88,2002
664,3.6,Action,19,91,2002
665,5.0,Drama,29,85,2002
666,7.2,Romance,63,92,2002
667,5.2,Comedy,47,99,2002
668,6.0,Drama,48,116,2002
669,6.2,Adventure,54,103,2002
670,7.0,Comedy,75,106,2002
671,7.4,Drama,86,99,2002
672,6.9,Drama,49,109,2002
673,5.3,Comedy,18,99,2002
674,5.8,Animation,49,72,2002
675,7.7,Drama,84,110,2002
676,7.7,Drama,71,114,2002
677,5.4,Comedy,47,94,2002
678,3.6,Comedy,18,89,2002
679,6.4,Drama,61,103,2002
680,5.6,Comedy,48,98,2002
681,6.4,Comedy,61,86,2002
682,4.6,Action,23,98,2002
683,5.3,Comedy,12,86,2002
684,5.3,Animation,69,85,2002
685,5.4,Comedy,25,93,2002
686,6.7,Drama,59,117,2002
687,7.1,Comedy,69,104,2002
688,5.2,Action,40,94,2002
689,6.4,Drama,52,102,2002
690,7.3,Biography,57,132,2002
691,6.6,Biography,66,105,2002
692,6.8,Drama,60,118,2002
693,5.1,Comedy,25,85,2002
694,7.5,Crime,86,106,2002
695,4.8,Horror,31,89,2002
696,7.6,Documentary,80,97,2002
697,7.7,Comedy,64,113,2002
698,6.6,Drama,62,115,2002
699,6.5,Action,36,116,2002
700,5.8,Action,34,95,2002
701,5.5,Crime,53,100,2002
702,7.2,Adventure,71,132,2002
703,7.4,Documentary,74,93,2002
704,6.6,Action,68,109,2002
705,4.8,Mystery,55,104,2002
706,4.7,Comedy,45,101,2002
707,7.0,Comedy,36,99,2002
708,7.6,Drama,72,128,2002
709,7.6,Drama,77,113,2002
710,6.5,Animation,65,73,2002
711,4.9,Drama,36,99,2002
712,7.1,Action,49,97,2002
713,7.2,Crime,67,101,2002
714,5.6,Biography,63,101,2002
715,6.3,Comedy,46,113,2002
716,7.7,Drama,86,99,2002
717,6.8,Drama,78,97,2002
718,6.9,Comedy,69,111,2002
719,7.9,Documentary,83,150,2002
720,7.9,Documentary,87,104,2002
721,4.2,Comedy,11,108,2002
722,6.0,Crime,38,90,2002
723,6.7,Action,66,111,2002
724,7.0,Comedy,58,90,2002
725,7.9,Drama,69,99,2002
726,6.5,Romance,58,109,2002
727,6.6,Drama,56,106,2002
728,5.6,Action,16,96,2002
729,7.4,Documentary,75,93,2002
730,7.3,Crime,75,90,2002
731,5.9,Biography,37,99,2002
732,7.0,Comedy,71,90,2002
733,8.0,Drama,79,133,2002
734,6.8,Comedy,48,91,2002
735,7.2,Drama,70,65,2002
736,7.0,Crime,64,132,2002
737,5.4,Action,50,90,2002
738,7.5,Drama,86,94,2002
739,7.0,Drama,55,94,2002
740,7.0,Documentary,62,82,2002
741,4.5,Comedy,24,91,2002
742,6.2,Comedy,53,91,2002
743,6.6,Crime,49,112,2002
744,5.9,Animation,47,76,2002
745,5.5,Comedy,28,91,2002
746,7.0,Drama,61,134,2002
747,5.1,Comedy,44,92,2002
748,4.5,Action,17,93,2002
749,7.2,Drama,83,88,2002
750,6.6,Comedy,47,114,2002
751,6.7,Documentary,59,89,2002
752,6.0,Crime,57,116,2002
753,7.5,Comedy,76,92,2002
754,6.3,Drama,68,93,2002
755,8.0,Drama,50,120,2002
756,7.8,Drama,63,80,2002
757,7.0,Drama,65,95,2002
758,4.0,Comedy,37,88,2002
759,5.8,Thriller,64,129,2002
760,6.2,Animation,27,80,2002
761,7.4,Drama,60,116,2002
762,6.1,Comedy,55,115,2002
763,7.3,Biography,65,110,2002
764,7.7,Comedy,52,86,2002
765,6.9,Documentary,63,108,2002
766,6.6,Action,41,150,2002
767,7.4,Drama,75,88,2002
768,6.2,Comedy,56,104,2002
769,9.0,Documentary,80,235,2002
770,6.4,Action,51,124,2002
771,5.7,Crime,31,110,2002
772,6.3,Action,36,95,2002
773,8.9,Adventure,94,201,2003
774,8.0,Action,63,143,2003
775,8.1,Action,69,111,2003
776,8.1,Animation,90,100,2003
777,7.2,Action,62,138,2003
778,7.5,Action,68,134,2003
779,8.4,Action,74,120,2003
780,6.7,Action,47,129,2003
781,8.0,Adventure,58,125,2003
782,8.0,Crime,84,138,2003
783,7.7,Comedy,55,135,2003
784,7.8,Drama,89,102,2003
785,7.7,Action,55,154,2003
786,6.3,Action,66,109,2003
787,6.7,Comedy,46,101,2003
788,7.0,Action,68,111,2003
789,7.0,Action,42,121,2003
790,7.1,Comedy,82,108,2003
791,5.7,Action,54,138,2003
792,5.9,Action,38,107,2003
793,7.7,Crime,70,124,2003
794,7.2,Comedy,54,88,2003
795,7.3,Mystery,64,90,2003
796,6.6,Action,38,147,2003
797,5.3,Action,42,103,2003
798,6.2,Comedy,52,106,2003
799,7.4,Action,81,138,2003
800,6.4,Comedy,45,116,2003
801,6.3,Comedy,43,96,2003
802,6.9,Comedy,64,97,2003
803,5.8,Action,30,110,2003
804,6.4,Action,56,102,2003
805,6.2,Horror,38,90,2003
806,6.0,Action,45,117,2003
807,7.2,Adventure,73,154,2003
808,6.1,Action,51,88,2003
809,7.7,Comedy,68,121,2003
810,7.1,Comedy,70,91,2003
